;used;doi;logic;replace on DOI
265;SANTOS CINTHYA S G 2003 ;;FALSO;
266;SANTOS LA 2013 J EXP MAR BIOL ECOL;;#REF!;
267;SANTOS PATRICIA SOUZA 2012 ;;FALSO;
268;SANTOS RG 2020 ENVIRON POLLUT;;FALSO;
269;SAZIMA & GASPARINI 1999 AQUA;;FALSO;
270;SAZIMA & SAZIMA 2004 AQUA;;FALSO;
271;SAZIMA 1997 AQUA;;FALSO;
272;SAZIMA 1998 AQUA;;FALSO;
273;SAZIMA 2002 AQUA;;#REF!;
274;SAZIMA 2002 AQUA-a;;#REF!;
275;SAZIMA 2005 AQUA;;#REF!;
276;SAZIMA CRISTINA 2005 ;;#REF!;
277;SAZIMA CRISTINA 2005 -a;;#REF!;
278;SAZIMA IVAN 2005 ;;#REF!;
279;SEGAL & CASTRO 2000 ICRS9;;#REF!;
280;SELEGHIM MIRNA H R 2007 ;;#REF!;
281;SEOANE 2012 ICRS12;;#REF!;
282;SILVA-JR 2005 AQUA;;#REF!;
283;SILVA-PINTO T 2020 PLOS ONE;;#REF!;
284;SILVA AG 2014 ESTUAR COAST SHELF SCI;;#REF!;
285;SILVA IRACEMA REIMÃO 2012 ;;FALSO;
286;SILVA LIMA AW 2020 MICROB ECOL;;FALSO;
287;SILVANO RAM 2006 BRAZ ARCHZ BIOL TECHNOL;;FALSO;
288;SILVEIRA CB 2020 J COAST RES;;#REF!;
289;SILVEIRA MM 2020 ENVIRON BIOL FISHES;;FALSO;
290;SIMONE LUIZ RICARDO L 2012 ;SIMONE LRL 2015 J CONCHOL;#REF!;
291;SISSINI MN 2014 MARINE BIODIVERSITY RECORDS;SISSINI MN 2014 ;#REF!;SISSINI MN 2014 MARINE BIODIVERSITY RECORDS
292;SKINNER LF 2013 MARINE BIODIVERSITY RECORDS;SKINNER LF 2013 ;#REF!;SKINNER LF 2013 MARINE BIODIVERSITY RECORDS
293;SMITH HG 1974 BIOL J LINN SOC;;#REF!;
294;SOARES A 2020 SCI MAR;;#REF!;
295;SOARES LSH 2018 OCEAN COAST MANAG;;#REF!;
296;SOARES LUANDA PEREIRA 2012 ;;FALSO;
297;SOARES MO 2011 BIOTEMAS;;FALSO;
298;SOARES MO 2017 J MAR BIOL ASSOC UK;;FALSO;
299;SOARES MO 2019 MAR BIODIVERS;;FALSO;
300;SOARES MO 2020 MAR POLLUT BULL;;FALSO;
301;SOARES MO 2020 SCI TOT ENV;;FALSO;
302;SOUZA AT 2011 MARINE BIODIVERSITY RECORDS;SOUZA AT 2011 ;FALSO;SOUZA AT 2011 MARINE BIODIVERSITY RECORDS
303;SOUZA BS 2020 Geomorphology;;FALSO;
304;SOUZA GRS 2018 BIOTA NEOTROP;;FALSO;
305;SPIER D 2012 MARINE BIODIVERSITY RECORDS;SPIER D 2012 ;FALSO;SPIER D 2012 MARINE BIODIVERSITY RECORDS
306;SPIER D 2018  BIOTA NEOTROP;;FALSO;
307;SUEIRO MARIA CRUZ 2020 ;;FALSO;
308;TAMEGA FTS 2007 ;;FALSO;
309;TANASOVICI RM 2020 MAR BIOL;;FALSO;
310;TARARAM AS 1982 BOLM INST OCEANOG;;FALSO;
311;TARGINO AKG 2020 MAR BIODIVERS;;FALSO;
312;TAVARES M 2017 PAP AVUL ZOOLOG;;FALSO;
313;TESTA 1997 ICRS8;;FALSO;
314;THURMAN CL 2013 MARINE BIODIVERSITY RECORDS;;FALSO;
315;VARASTEH T 2020 MICROB ECOL;;FALSO;
316;VASCONCELOS FAL 2008 ARQ CIENC MAR;;FALSO;
317;VASCONCELOS MA 2009 BRAZ J OCEANOGR;;FALSO;
318;VASKE JUNIOR T 2006 ARQ CIENC MAR;;FALSO;
319;VASKE JUNIOR T 2006 ARQ CIENC MAR-a;;FALSO;
320;VASKE JUNIOR T 2008 PANANJAS;;FALSO;
